# R V(R) 
8.499997 222.689916 
8.486912 223.751242 
8.487562 222.788067 
8.451398 225.542077 
8.392783 227.094961 
8.310223 217.988136 
8.204582 216.113885 
8.078461 213.849590 
7.928502 211.948281 
6.021936 213.141865 
6.307789 213.570425 
6.589840 217.660569 
7.118988 200.686169 
7.350064 212.026957 
7.567485 207.794306 
7.760907 209.580528 
5.680992 183.817444 
5.338840 176.931753 
4.986568 210.004117 
4.614491 209.023894 
4.239718 200.683869 
3.840402 143.198642 
3.440991 186.170934 
3.029501 195.390613 
0.860454 176.560586 
