# R V(R) 
8.499999 216.349970 
8.487642 225.710141 
8.451873 217.154348 
8.393486 217.513170 
8.313946 216.854486 
8.207676 213.273958 
8.079844 211.985387 
7.932239 208.355019 
7.761512 207.276185 
7.566133 223.609322 
7.356761 198.170293 
7.118988 198.586169 
6.603873 216.333773 
6.304805 184.543190 
6.004110 172.550501 
5.683199 169.334559 
5.384885 156.143503 
4.982963 149.880813 
4.609507 133.224879 
4.242289 144.570422 
3.852309 114.716811 
3.443703 106.621149 
3.035045 94.734097 
2.606884 81.752285 
2.185629 64.719214 
1.775955 60.395896 
1.310641 39.612476 
