# R V(R) 
0.870785 23.427969 
1.316504 34.674219 
1.745477 46.727043 
2.179894 58.270776 
2.613943 69.344993 
3.026729 80.648857 
3.436921 93.335591 
3.845695 103.825636 
4.619474 127.412850 
4.235860 116.174015 
4.978155 135.476353 
5.346917 277.620797 
5.678785 152.830312 
5.984125 160.493239 
6.312759 180.319051 
6.597330 193.624423 
7.121419 189.209084 
7.568835 203.619265 
7.933838 205.206385 
8.394886 231.679408 
