# R V(R) 
8.499981 224.719517 
8.487881 221.336320 
8.451873 217.574348 
8.395351 216.231435 
8.311779 216.098397 
8.203418 212.913751 
8.082145 210.554921 
7.932239 230.455019 
7.579608 220.628081 
1.316504 36.344219 
1.749832 47.179774 
2.152637 61.195319 
2.606884 75.842285 
2.993431 83.217042 
3.435564 100.560471 
3.856275 107.239479 
4.235860 121.354015 
4.614491 128.473894 
4.985367 141.993020 
5.337686 146.591873 
5.677681 162.461739 
5.942897 164.546162 
6.312759 177.979051 
6.598265 179.738632 
